"frameCount";"StaticqueueDensity";"currentNoOfBlobs"
"2";"0";"3"
"3";"1";"2"
"4";"0";"3"
"5";"0";"2"
"6";"0";"2"
"7";"0";"2"
"8";"0";"2"
"9";"0";"2"
"10";"0";"3"
"11";"0";"3"
"12";"2";"1"
"13";"0";"3"
"14";"0";"3"
"15";"2";"1"
"16";"0";"3"
"17";"1";"2"
"18";"1";"2"
"19";"1";"2"
"20";"1";"2"
"21";"1";"2"
"22";"1";"2"
"23";"1";"2"
"24";"1";"2"
"25";"0";"3"
"26";"0";"3"
"27";"0";"3"
"28";"0";"4"
"29";"0";"4"
"30";"1";"3"
"31";"0";"4"
"32";"1";"3"
"33";"1";"3"
"34";"1";"3"
"35";"1";"3"
"36";"2";"2"
"37";"0";"3"
"38";"0";"3"
"39";"0";"4"
"40";"0";"4"
"41";"0";"4"
"42";"1";"3"
"43";"1";"3"
"44";"1";"3"
"45";"3";"1"
"46";"1";"3"
"47";"2";"2"
"48";"3";"1"
"49";"2";"2"
"50";"2";"2"
"51";"3";"1"
"52";"2";"2"
"53";"1";"4"
"54";"3";"2"
"55";"2";"4"
"56";"4";"2"
"57";"4";"2"
"58";"4";"2"
"59";"4";"2"
"60";"4";"1"
"61";"4";"2"
"62";"4";"2"
"63";"4";"2"
"64";"5";"1"
"65";"5";"2"
"66";"4";"2"
"67";"5";"1"
"68";"5";"1"
"69";"4";"2"
"70";"4";"2"
"71";"4";"2"
"72";"4";"2"
"73";"5";"1"
"74";"5";"1"
"75";"4";"2"
"76";"4";"2"
"77";"5";"1"
"78";"4";"2"
"79";"4";"2"
"80";"4";"2"
"81";"4";"2"
"82";"4";"2"
"83";"4";"2"
"84";"4";"3"
"85";"4";"3"
"86";"4";"2"
"87";"5";"1"
"88";"4";"2"
"89";"3";"3"
"90";"4";"2"
"91";"4";"2"
"92";"4";"3"
"93";"6";"1"
"94";"5";"2"
"95";"5";"2"
"96";"6";"1"
"97";"5";"2"
"98";"5";"3"
"99";"7";"1"
"100";"6";"2"
"101";"6";"3"
"102";"8";"1"
"103";"7";"2"
"104";"6";"4"
"105";"10";"0"
"106";"9";"2"
"107";"8";"3"
"108";"10";"1"
"109";"9";"2"
"110";"9";"2"
"111";"9";"2"
"112";"8";"4"
"113";"8";"4"
"114";"8";"3"
"115";"8";"4"
"116";"8";"4"
"117";"8";"2"
"118";"8";"5"
"119";"7";"6"
"120";"9";"4"
"121";"9";"6"
"122";"8";"5"
"123";"8";"3"
"124";"8";"5"
"125";"8";"5"
"126";"10";"3"
"127";"9";"5"
"128";"9";"5"
"129";"11";"3"
"130";"11";"4"
"131";"10";"4"
"132";"12";"2"
"133";"11";"4"
"134";"12";"3"
"135";"11";"3"
"136";"11";"3"
"137";"10";"4"
"138";"10";"3"
"139";"10";"4"
"140";"10";"3"
"141";"8";"5"
"142";"9";"4"
"143";"8";"5"
"144";"11";"2"
"145";"9";"5"
"146";"12";"2"
"147";"12";"2"
"148";"10";"4"
"149";"12";"2"
"150";"12";"2"
"151";"12";"2"
"152";"11";"3"
"153";"12";"2"
"154";"11";"3"
"155";"12";"2"
"156";"13";"1"
"157";"10";"4"
"158";"10";"4"
"159";"14";"0"
"160";"11";"3"
"161";"12";"2"
"162";"13";"1"
"163";"11";"3"
"164";"11";"3"
"165";"13";"1"
"166";"13";"1"
"167";"13";"1"
"168";"14";"0"
"169";"12";"2"
"170";"12";"3"
"171";"15";"0"
"172";"12";"4"
"173";"14";"2"
"174";"14";"1"
"175";"14";"2"
"176";"14";"1"
"177";"15";"0"
"178";"12";"4"
"179";"14";"2"
"180";"15";"0"
"181";"15";"1"
"182";"15";"1"
"183";"15";"0"
"184";"15";"1"
"185";"13";"3"
"186";"15";"0"
"187";"15";"1"
"188";"15";"0"
"189";"15";"0"
"190";"15";"0"
"191";"15";"0"
"192";"15";"0"
"193";"15";"0"
"194";"15";"0"
"195";"15";"0"
"196";"15";"0"
"197";"15";"0"
"198";"15";"0"
"199";"15";"0"
"200";"15";"0"
"201";"15";"0"
"202";"14";"1"
"203";"15";"0"
"204";"15";"0"
"205";"15";"0"
"206";"14";"1"
"207";"15";"0"
"208";"14";"1"
"209";"15";"0"
"210";"15";"0"
"211";"15";"0"
"212";"15";"0"
"213";"15";"0"
"214";"15";"0"
"215";"14";"1"
"216";"15";"0"
"217";"14";"1"
"218";"15";"0"
"219";"15";"0"
"220";"15";"0"
"221";"15";"0"
"222";"15";"0"
"223";"14";"1"
"224";"14";"1"
"225";"15";"0"
"226";"15";"0"
"227";"15";"0"
"228";"15";"0"
"229";"15";"0"
"230";"14";"1"
"231";"14";"1"
"232";"14";"1"
"233";"15";"0"
"234";"15";"0"
"235";"14";"1"
"236";"15";"0"
"237";"15";"0"
"238";"15";"0"
"239";"13";"2"
"240";"15";"0"
"241";"15";"0"
"242";"15";"1"
"243";"15";"0"
"244";"15";"1"
"245";"15";"0"
"246";"15";"1"
"247";"15";"1"
"248";"15";"0"
"249";"14";"1"
"250";"13";"2"
"251";"14";"1"
"252";"14";"1"
"253";"14";"1"
"254";"14";"1"
"255";"15";"0"
"256";"15";"0"
"257";"15";"0"
"258";"15";"0"
"259";"15";"0"
"260";"15";"0"
"261";"15";"0"
"262";"15";"0"
"263";"15";"0"
"264";"15";"0"
"265";"15";"1"
"266";"15";"1"
"267";"15";"0"
"268";"15";"1"
"269";"15";"0"
"270";"15";"0"
"271";"15";"0"
"272";"15";"0"
"273";"15";"0"
"274";"15";"0"
"275";"15";"1"
"276";"15";"0"
"277";"15";"0"
"278";"15";"0"
"279";"15";"0"
"280";"15";"1"
"281";"15";"1"
"282";"15";"1"
"283";"15";"1"
"284";"15";"1"
"285";"15";"1"
"286";"15";"1"
"287";"14";"2"
"288";"14";"3"
"289";"15";"1"
"290";"15";"1"
"291";"15";"2"
"292";"15";"1"
"293";"15";"1"
"294";"15";"2"
"295";"15";"1"
"296";"15";"1"
"297";"15";"1"
"298";"15";"1"
"299";"14";"1"
"300";"14";"1"
"301";"15";"0"
"302";"15";"0"
"303";"15";"0"
"304";"15";"0"
"305";"15";"0"
"306";"15";"0"
"307";"15";"0"
"308";"15";"0"
"309";"14";"1"
"310";"14";"1"
"311";"14";"1"
"312";"15";"0"
"313";"15";"0"
"314";"14";"1"
"315";"15";"0"
"316";"13";"2"
"317";"14";"1"
"318";"15";"0"
"319";"14";"1"
"320";"14";"1"
"321";"15";"0"
"322";"14";"1"
"323";"15";"0"
"324";"14";"1"
"325";"14";"1"
"326";"14";"1"
"327";"15";"0"
"328";"14";"1"
"329";"15";"0"
"330";"15";"0"
"331";"15";"0"
"332";"14";"1"
"333";"15";"0"
"334";"15";"0"
"335";"15";"0"
"336";"15";"0"
"337";"14";"1"
"338";"15";"0"
"339";"15";"0"
"340";"15";"0"
"341";"15";"0"
"342";"15";"0"
"343";"15";"0"
"344";"15";"0"
"345";"15";"1"
"346";"15";"1"
"347";"15";"1"
"348";"15";"1"
"349";"15";"1"
"350";"15";"1"
"351";"15";"2"
"352";"15";"1"
"353";"15";"1"
"354";"15";"1"
"355";"15";"2"
"356";"15";"2"
"357";"15";"1"
"358";"14";"1"
"359";"14";"2"
"360";"14";"1"
"361";"14";"1"
"362";"14";"1"
"363";"14";"1"
"364";"14";"1"
"365";"14";"1"
"366";"13";"2"
"367";"14";"1"
"368";"14";"1"
"369";"13";"2"
"370";"13";"2"
"371";"13";"2"
"372";"13";"2"
"373";"13";"2"
"374";"13";"2"
"375";"13";"2"
"376";"12";"3"
"377";"13";"2"
"378";"13";"2"
"379";"13";"2"
"380";"13";"2"
"381";"14";"1"
"382";"13";"2"
"383";"13";"2"
"384";"14";"1"
"385";"14";"1"
"386";"14";"2"
"387";"14";"2"
"388";"14";"2"
"389";"14";"2"
"390";"14";"2"
"391";"13";"3"
"392";"14";"2"
"393";"14";"1"
"394";"13";"2"
"395";"14";"1"
"396";"15";"0"
"397";"12";"3"
"398";"13";"2"
"399";"14";"1"
"400";"12";"4"
"401";"11";"4"
"402";"14";"1"
"403";"13";"3"
"404";"14";"2"
"405";"14";"1"
"406";"14";"1"
"407";"13";"2"
"408";"14";"1"
"409";"12";"3"
"410";"13";"2"
"411";"13";"3"
"412";"13";"3"
"413";"13";"3"
"414";"13";"3"
"415";"13";"2"
"416";"13";"3"
"417";"13";"2"
"418";"12";"4"
"419";"12";"4"
"420";"12";"2"
"421";"12";"4"
"422";"12";"6"
"423";"12";"2"
"424";"12";"4"
"425";"12";"4"
"426";"11";"5"
