"frameCount";"StaticqueueDensity";"currentNoOfBlobs"
"6";"0";"2"
"11";"0";"3"""16";"0";"2"
"21";"0";"2"
"26";"0";"4"
"31";"0";"4"
"36";"0";"4"
"41";"0";"4"""46";"0";"3"""51";"0";"3"""56";"0";"5"""61";"0";"5"""66";"3";"2"""71";"3";"3"""76";"3";"2"""81";"3";"2"
"86";"2";"4"
"91";"2";"3"
"96";"3";"2"
"101";"2";"3"1"106";"1";"4"1"111";"1";"3"1"116";"1";"5"
"121";"0";"7"1"126";"0";"5"1"131";"0";"5"1"136";"0";"7"1"141";"2";"5"1"146";"2";"5"1"151";"3";"4"1"156";"6";"1"1"161";"3";"4"1"166";"5";"2"1"171";"7";"0"1"176";"6";"1"1"181";"6";"2"1"186";"8";"0"1"191";"8";"0"1"196";"8";"0"1"201";"8";"0"2"206";"7";"1"2"211";"8";"0"2"216";"8";"0"217";"8";"0"
"222";"8";"0"
"2"231";"8";"0"2"236";"8";"0"239";"7";"0"
"2"246";"7";"1"2"251";"7";"0"2"256";"7";"0"2"261";"7";"0"2"266";"7";"0"2"271";"7";"0"2"276";"7";"0"2"281";"7";"1"2"286";"7";"1"2"291";"7";"1"2"296";"7";"1"2"301";"7";"0"3"306";"7";"0"3"311";"6";"1"3"316";"6";"1"3"321";"6";"1"3"326";"6";"1"3"331";"7";"0"3"336";"7";"0"3"341";"7";"0"3"346";"7";"1"3"351";"7";"2"3"356";"7";"1"3"361";"6";"1"3"366";"5";"2"3"371";"5";"2"3"376";"5";"2"3"381";"5";"2"3"386";"5";"3"3"391";"6";"2"3"396";"6";"1"3"401";"4";"4"4"406";"5";"3"4"411";"5";"4"4"416";"4";"4"4"421";"4";"5"
"426";"3";"7"
"431";"3";"7"
"436";"0";"9"4"441";"2";"7"4"446";"0";"9"4"451";"0";"9"4"456";"7";"2"4"461";"4";"6"
"466";"6";"4"
"471";"10";"0"
"476";"9";"1"
"481";"9";"1"
"486";"10";"0"
"491";"10";"0"
"496";"10";"0"
"501";"10";"0"
"506";"10";"1"
"511";"10";"1"
"516";"9";"1"
"521";"9";"2"
"526";"9";"1"
"531";"9";"1"
"536";"9";"1"
"541";"8";"2"
"546";"10";"0"
"551";"8";"2"
"556";"9";"1"
"561";"10";"0"
"566";"10";"0"
"571";"10";"0"
"576";"10";"0"
"581";"10";"0"""586";"10";"1"5"591";"10";""59"596";"10";"1"
"601";"10";"0"
"606";"10";"0"
"611";"10";"1"
"616";"10";"1"
"621";"10";"0"
"626";"10";"627"631";"10";"632"636";"10";"637"641";"10";"642"646";"10";"647"651";"10";"65""656";"10";"6"6"661";"10";""67"666";"10";"678"671";"10""683""676";"10"688";"681";"1"693";""686";""698";"9"691";"703";"9""696""708";"9";"701"713";"9";""70"718";"9";"1"7"723";"9""712""728";"9";"0"
"733";"9";"0"
"738";"9";"0"7"743";"9";"0"""748";"9";"0"
"753";"9";"0"
"758";"9";"0"
"763";"9";"0"
"768";"9";"0"
"773";"9";"0"
"778";"9";"0"
"783";"9";"0"
"788";"9";"0"
"793";"9";"0"
"798";"9";"0"
"803";"9";"0"
"808";"9";"0"
"813";"9";"0"
"818";"9";"0"
"823";"9";"0"
"828";"9";"0"
"833";"8";"1"
"838";"9";"0"
"843";"9";"0"
"848";"9";"0"
"853";"9";"0"
"858";"9";"0"
"863";"9";"0"
"868";"8";"1"
"873";"9";"0"
"878";"9";"0"
"883";"8";"1"
"888";"9";"0"
"893";"9";"0"
"898";"9";"0"
"903";"9";"0"
"908";"9";"0"
"913";"9";"0"
"918";"9";"0"
"923";"9";"0"
"928";"9";"0"
"933";"9";"0"
"938";"9";"0"
"943";"8";"1"
"948";"9";"0"
"953";"9";"0"
"958";"9";"0"
"963";"9";"0"
"968";"9";"0"
"973";"9";"0"
"978";"9";"0"
"983";"8";"1"
"988";"9";"0"
"993";"9";"0"
"998";"9";"0"
"1003";"9";"0"
"1008";"9";"0"
"1013";"9";"0"
"1018";"8";"1"
"1023";"9";"0"
"1028";"9";"0"
"1033";"9";"0"
"1038";"9";"0"
"1043";"9";"0"
"1048";"9";"0"
"1053";"9";"0"
"1058";"9";"0"
"1063";"9";"0"
"1068";"9";"0"
"1073";"9";"0"
"1078";"9";"0"
"1083";"9";"0"
"1088";"9";"0"
"1093";"9";"0"
"1098";"8";"1"
"1103";"9";"0"
"1108";"9";"0"
"1113";"9";"0"
"1118";"9";"0"
"1123";"9";"0"
"1128";"8";"2"
"1133";"9";"1"
"1138";"8";"2"
"1143";"9";"1"
"1148";"9";"2"
"1153";"8";"2"
"1158";"7";"3"
"1163";"8";"2"
"1168";"6";"4"
"1173";"8";"2"
"1178";"10";"0"
"1183";"8";"2"
"1188";"9";"1"
"1193";"9";"1"
"1198";"9";"1"
"1203";"9";"1"
"1208";"10";"0"
"1213";"10";"0"
"1218";"10";"0"
"1223";"10";"0"
"1228";"10";"0"
"1233";"10";"0"
"1238";"10";"0"
"1243";"9";"2"
"1248";"9";"2"
"1253";"11";"0"
"1258";"10";"1"
"1263";"11";"0"
"1268";"11";"0"
"1273";"10";"1"
"1278";"9";"3"
"1283";"12";"0"
"1288";"11";"1"
"1293";"12";"0"
"1298";"12";"1"
"1303";"12";"1"
"1308";"11";"1"
"1313";"12";"0"
"1318";"12";"1"
"1323";"12";"0"
"1328";"12";"0"
"1333";"12";"1"
"1338";"12";"0"
"1343";"12";"0"
"1348";"11";"2"
"1353";"12";"1"
"1358";"12";"1"
"1363";"11";"2"
"1368";"11";"2"
"1373";"13";"0"
"1378";"13";"1"
"1383";"13";"1"
"1388";"13";"0"
"1393";"13";"0"
"1398";"13";"0"
"1403";"13";"0"
"1408";"13";"0"
"1413";"13";"0"
"1418";"13";"0"
"1423";"13";"0"
"1428";"12";"1"
"1433";"13";"0"
"1438";"13";"1"
"1443";"11";"3"
"1448";"11";"4"
"1453";"10";"4"
"1458";"8";"8"
"1463";"12";"4"
"1468";"8";"10"
"1473";"6";"12"
"1478";"12";"6"
"1483";"9";"14"
"1488";"7";"17"
"1493";"14";"10"
"1498";"13";"12"
"1503";"13";"14"
"1508";"15";"7"
"1513";"15";"12"
"1518";"13";"13"
"1523";"15";"8"
"1528";"11";"14"
"1533";"10";"14"
"1538";"15";"8"
"1543";"10";"15"
"1548";"12";"13"
"1553";"15";"8"
"1558";"13";"16"
"1563";"11";"15"
"1568";"10";"16"
"1573";"7";"19"
