"frameCount";"StaticqueueDensity";"currentNoOfBlobs"
"319";"8";"1"
"320";"8";"1"
"321";"8";"1"
"322";"8";"1"
"323";"8";"1"
"324";"8";"1"
"325";"8";"1"
"326";"9";"0"
"327";"9";"0"
"328";"8";"1"
"329";"9";"0"
"330";"9";"0"
"331";"9";"0"
"332";"9";"0"
"333";"9";"0"
"334";"9";"0"
"335";"9";"0"
"336";"8";"1"
"337";"9";"0"
"338";"9";"0"
"339";"9";"0"
"340";"9";"0"
"341";"9";"0"
"342";"9";"0"
"343";"9";"0"
"344";"9";"0"
"345";"8";"1"
"346";"8";"1"
"347";"8";"1"
"348";"7";"2"
"349";"8";"1"
"350";"8";"1"
"351";"7";"2"
"352";"8";"1"
"353";"8";"1"
"354";"7";"2"
"355";"7";"2"
"356";"8";"1"
"357";"7";"2"
"358";"8";"1"
"359";"8";"1"
"360";"7";"2"
"361";"8";"1"
"362";"8";"1"
"363";"7";"2"
"364";"8";"1"
"365";"8";"1"
"366";"7";"2"
"367";"8";"1"
"368";"8";"1"
"369";"7";"2"
"370";"7";"2"
"371";"7";"2"
"372";"7";"2"
"373";"7";"2"
"374";"7";"2"
"375";"7";"2"
"376";"7";"2"
"377";"7";"2"
"378";"7";"2"
"379";"7";"2"
"380";"7";"2"
"381";"7";"2"
"382";"7";"2"
"383";"7";"2"
"384";"7";"2"
"385";"7";"2"
"386";"6";"3"
"387";"6";"3"
"388";"6";"3"
"389";"6";"3"
"390";"7";"2"
"391";"7";"2"
"392";"7";"2"
"393";"7";"2"
"394";"7";"2"
"395";"7";"2"
"396";"8";"1"
"397";"6";"3"
"398";"6";"3"
"399";"7";"2"
"400";"5";"4"
"401";"5";"4"
"402";"8";"1"
"403";"7";"2"
"404";"7";"2"
"405";"8";"1"
"406";"6";"3"
"407";"7";"2"
"408";"7";"2"
"409";"5";"4"
"410";"5";"4"
"411";"5";"4"
"412";"5";"4"
"413";"5";"4"
"414";"3";"6"
"415";"4";"5"
"416";"6";"3"
"417";"3";"7"
"418";"5";"5"
"419";"5";"5"
"420";"3";"7"
"421";"4";"6"
"422";"3";"9"
"423";"5";"7"
"424";"4";"8"
"425";"6";"6"
"426";"5";"7"
"427";"5";"7"
"428";"5";"7"
"429";"4";"8"
"430";"5";"7"
"431";"5";"7"
"432";"5";"7"
"433";"5";"7"
"434";"3";"9"
"435";"5";"7"
"436";"3";"9"
"437";"3";"9"
"438";"5";"7"
"439";"4";"8"
"440";"2";"10"
"441";"5";"7"
"442";"4";"8"
"443";"2";"10"
"444";"5";"7"
"445";"2";"10"
"446";"2";"10"
"447";"6";"6"
"448";"6";"6"
"449";"6";"6"
"450";"6";"6"
"451";"5";"7"
"452";"6";"6"
"453";"7";"5"
"454";"3";"9"
"455";"6";"6"
"456";"7";"6"
"457";"4";"9"
"458";"7";"6"
"459";"8";"5"
"460";"5";"8"
"461";"11";"2"
"462";"9";"4"
"463";"6";"7"
"464";"11";"2"
"465";"10";"3"
"466";"9";"4"
"467";"11";"2"
"468";"10";"3"
"469";"9";"4"
"470";"11";"2"
"471";"12";"0"
"472";"10";"2"
"473";"11";"1"
"474";"12";"0"
"475";"11";"1"
"476";"11";"1"
"477";"12";"0"
"478";"11";"1"
"479";"11";"1"
"480";"12";"0"
"481";"11";"1"
"482";"11";"1"
"483";"12";"0"
"484";"12";"0"
"485";"12";"0"
"486";"12";"0"
"487";"12";"0"
"488";"12";"0"
"489";"12";"0"
"490";"12";"0"
"491";"12";"0"
"492";"12";"0"
"493";"12";"0"
"494";"12";"0"
"495";"12";"0"
"496";"12";"0"
"497";"12";"0"
"498";"12";"0"
"499";"12";"0"
"500";"12";"0"
"501";"12";"0"
"502";"12";"0"
"503";"12";"0"
"504";"12";"0"
"505";"11";"1"
"506";"11";"1"
"507";"11";"1"
"508";"11";"1"
"509";"11";"1"
"510";"11";"1"
"511";"11";"1"
"512";"11";"1"
"513";"11";"1"
"514";"11";"1"
"515";"11";"1"
"516";"11";"1"
"517";"11";"1"
"518";"10";"2"
"519";"11";"1"
"520";"15";"1"
"521";"10";"2"
"522";"10";"2"
"523";"11";"1"
"524";"10";"2"
"525";"11";"1"
"526";"11";"1"
"527";"10";"2"
"528";"10";"2"
"529";"10";"2"
"530";"10";"2"
"531";"11";"1"
"532";"10";"2"
"533";"11";"1"
"534";"10";"2"
"535";"10";"2"
"536";"11";"1"
"537";"11";"1"
"538";"9";"3"
"539";"10";"2"
"540";"11";"1"
"541";"10";"2"
"542";"8";"4"
"543";"10";"2"
"544";"10";"2"
"545";"11";"1"
"546";"12";"0"
"547";"11";"1"
"548";"10";"2"
"549";"11";"1"
"550";"10";"2"
"551";"10";"2"
"552";"11";"1"
"553";"11";"1"
"554";"11";"1"
"555";"12";"0"
"556";"11";"1"
"557";"10";"2"
"558";"11";"1"
"559";"11";"1"
"560";"11";"1"
"561";"12";"0"
"562";"12";"0"
"563";"12";"0"
"564";"12";"0"
"565";"12";"0"
"566";"12";"0"
"567";"12";"0"
"568";"12";"0"
"569";"12";"0"
"570";"12";"0"
"571";"12";"0"
"572";"12";"0"
