"frameCount";"StaticqueueDensity";"currentNoOfBlobs"
"2";"0";"3"
"3";"0";"3"
"4";"0";"3"
"5";"0";"3"
"6";"2";"1"
"7";"1";"3"
"8";"2";"2"
"9";"4";"0"
"10";"2";"4"
"11";"2";"3"
"12";"4";"1"
"13";"3";"2"
"14";"3";"2"
"15";"4";"1"
"16";"2";"2"
"17";"2";"2"
"18";"3";"1"
"19";"3";"1"
"20";"2";"2"
"21";"2";"2"
"22";"3";"1"
"23";"3";"1"
"24";"2";"2"
"25";"3";"1"
"26";"3";"1"
"27";"2";"3"
"28";"3";"2"
"29";"3";"2"
"30";"2";"3"
"31";"1";"4"
"32";"1";"4"
"33";"2";"3"
"34";"1";"4"
"35";"1";"4"
"36";"2";"3"
"37";"1";"3"
"38";"0";"4"
"39";"1";"3"
"40";"0";"3"
"41";"0";"3"
"42";"0";"3"
"43";"0";"4"
"44";"1";"3"
"45";"1";"3"
"46";"1";"3"
"47";"1";"3"
"48";"2";"2"
"49";"2";"2"
"50";"1";"3"
"51";"2";"2"
"52";"1";"3"
"53";"1";"3"
"54";"1";"3"
"55";"1";"3"
"56";"1";"3"
"57";"1";"2"
"58";"1";"3"
"59";"0";"5"
"60";"0";"2"
"61";"0";"3"
"62";"0";"3"
"63";"0";"3"
"64";"0";"3"
"65";"0";"4"
"66";"0";"2"
"67";"0";"2"
"68";"0";"3"
"69";"0";"2"
"70";"0";"3"
"71";"0";"3"
"72";"0";"3"
"73";"0";"4"
"74";"0";"3"
"75";"0";"3"
"76";"0";"3"
"77";"0";"3"
"78";"2";"1"
"79";"2";"2"
"80";"1";"4"
"81";"4";"1"
"82";"2";"4"
"83";"3";"3"
"84";"1";"5"
"85";"2";"4"
"86";"2";"4"
"87";"4";"2"
"88";"2";"4"
"89";"0";"6"
"90";"4";"2"
"91";"1";"5"
"92";"0";"6"
"93";"4";"2"
"94";"2";"5"
"95";"2";"6"
"96";"6";"2"
"97";"6";"3"
"98";"6";"3"
"99";"6";"3"
"100";"6";"3"
"101";"4";"4"
"102";"5";"3"
"103";"3";"4"
"104";"4";"3"
"105";"4";"2"
"106";"3";"4"
"107";"4";"3"
"108";"4";"2"
"109";"4";"3"
"110";"3";"4"
"111";"4";"3"
"112";"3";"5"
"113";"3";"5"
"114";"3";"4"
"115";"3";"5"
"116";"3";"5"
"117";"3";"3"
"118";"3";"6"
"119";"2";"7"
"120";"2";"7"
"121";"2";"7"
"122";"1";"8"
"123";"5";"4"
"124";"4";"6"
"125";"3";"7"
"126";"5";"5"
"127";"4";"7"
"128";"4";"7"
"129";"6";"5"
"130";"6";"5"
"131";"6";"5"
"132";"6";"4"
"133";"6";"5"
"134";"6";"5"
"135";"8";"3"
"136";"8";"5"
"137";"7";"5"
"138";"11";"1"
"139";"9";"4"
"140";"8";"5"
"141";"12";"1"
"142";"10";"3"
"143";"8";"6"
"144";"12";"2"
"145";"9";"5"
"146";"12";"2"
"147";"13";"1"
"148";"12";"2"
"149";"12";"2"
"150";"14";"0"
"151";"12";"2"
"152";"11";"3"
"153";"14";"0"
"154";"9";"5"
"155";"12";"2"
"156";"13";"1"
"157";"13";"2"
"158";"12";"3"
"159";"15";"0"
"160";"11";"4"
"161";"12";"3"
"162";"15";"0"
"163";"12";"3"
"164";"12";"3"
"165";"15";"0"
"166";"14";"1"
"167";"13";"2"
"168";"15";"0"
"169";"14";"2"
"170";"12";"4"
"171";"15";"0"
"172";"13";"2"
"173";"13";"2"
"174";"15";"0"
"175";"14";"2"
"176";"14";"2"
"177";"15";"0"
"178";"15";"1"
"179";"15";"1"
"180";"15";"0"
"181";"15";"1"
"182";"14";"2"
"183";"15";"0"
"184";"14";"2"
"185";"15";"1"
"186";"15";"0"
"187";"15";"1"
"188";"15";"0"
"189";"15";"0"
"190";"15";"0"
"191";"15";"1"
"192";"15";"0"
"193";"15";"0"
"194";"15";"0"
"195";"15";"0"
"196";"15";"0"
"197";"15";"0"
"198";"15";"0"
"199";"15";"0"
"200";"14";"1"
"201";"15";"0"
"202";"14";"1"
"203";"15";"0"
"204";"15";"0"
"205";"15";"0"
"206";"14";"1"
"207";"15";"0"
"208";"14";"1"
"209";"15";"0"
"210";"15";"0"
"211";"15";"0"
"212";"15";"0"
"213";"15";"0"
"214";"14";"1"
"215";"14";"1"
"216";"15";"0"
"217";"14";"1"
"218";"15";"0"
"219";"15";"0"
"220";"15";"0"
"221";"15";"0"
"222";"15";"0"
"223";"15";"0"
"224";"15";"0"
"225";"15";"0"
"226";"15";"0"
"227";"15";"0"
"228";"15";"0"
"229";"15";"0"
"230";"14";"1"
"231";"15";"0"
"232";"15";"0"
"233";"14";"1"
"234";"15";"0"
"235";"14";"1"
"236";"14";"2"
"237";"15";"0"
"238";"14";"1"
"239";"13";"2"
"240";"15";"0"
"241";"14";"1"
"242";"14";"1"
"243";"14";"0"
"244";"14";"1"
"245";"14";"1"
"246";"14";"1"
"247";"14";"1"
"248";"14";"1"
"249";"13";"1"
"250";"13";"1"
"251";"13";"1"
"252";"13";"1"
"253";"13";"1"
"254";"13";"1"
"255";"14";"0"
"256";"14";"1"
"257";"14";"1"
"258";"14";"0"
"259";"14";"0"
"260";"14";"0"
"261";"14";"0"
"262";"14";"0"
"263";"14";"0"
"264";"14";"0"
"265";"14";"1"
"266";"14";"0"
"267";"14";"0"
"268";"14";"1"
"269";"14";"1"
"270";"14";"0"
"271";"14";"0"
"272";"14";"0"
"273";"14";"0"
"274";"14";"1"
"275";"14";"1"
"276";"14";"1"
"277";"14";"1"
"278";"14";"1"
"279";"14";"0"
"280";"14";"1"
"281";"13";"2"
"282";"14";"1"
"283";"14";"3"
"284";"14";"2"
"285";"14";"1"
"286";"13";"2"
"287";"13";"3"
"288";"13";"2"
"289";"13";"2"
"290";"13";"2"
"291";"13";"1"
"292";"13";"2"
"293";"13";"2"
"294";"13";"1"
"295";"13";"1"
"296";"13";"1"
"297";"13";"1"
"298";"13";"1"
"299";"12";"1"
"300";"12";"1"
"301";"12";"1"
"302";"13";"0"
"303";"13";"0"
"304";"13";"0"
"305";"13";"0"
"306";"13";"0"
"307";"13";"0"
"308";"12";"1"
"309";"12";"1"
"310";"12";"1"
"311";"12";"1"
"312";"12";"1"
"313";"13";"0"
"314";"12";"1"
"315";"13";"0"
"316";"13";"0"
"317";"13";"0"
"318";"13";"0"
"319";"13";"0"
