"frameCount";"StaticqueueDensity";"currentNoOfBlobs"
"957";"6";"0"
"960";"6";"0"
"963";"6";"0"
"966";"6";"0"
"969";"6";"0"
"972";"6";"0"
"975";"6";"0"
"978";"6";"0"
"981";"6";"0"
"984";"6";"0"
"987";"6";"0"
"990";"6";"0"
"993";"6";"0"
"996";"6";"0"
"999";"6";"0"
"1002";"6";"0"
"1005";"6";"0"
"1008";"6";"0"
"1011";"4";"2"
"1014";"5";"1"
"1017";"5";"1"
"1020";"5";"1"
"1023";"6";"0"
"1026";"4";"2"
"1029";"6";"0"
"1032";"6";"0"
"1035";"6";"0"
"1038";"6";"0"
"1041";"6";"0"
"1044";"6";"0"
"1047";"6";"0"
"1050";"5";"1"
"1053";"6";"0"
"1056";"6";"0"
"1059";"6";"0"
"1062";"6";"0"
"1065";"6";"0"
"1068";"6";"0"
"1071";"6";"0"
"1074";"6";"0"
"1077";"6";"0"
"1080";"6";"0"
"1083";"6";"0"
"1086";"6";"0"
"1089";"6";"0"
"1092";"6";"0"
"1095";"6";"0"
"1098";"5";"1"
"1101";"5";"1"
"1104";"6";"0"
"1107";"6";"0"
"1110";"6";"0"
"1113";"6";"0"
"1116";"6";"0"
"1119";"5";"1"
"1122";"5";"1"
"1125";"5";"2"
"1128";"4";"2"
"1131";"3";"3"
"1134";"3";"3"
"1137";"3";"3"
"1140";"5";"1"
"1143";"5";"1"
"1146";"5";"2"
"1149";"5";"1"
"1152";"4";"2"
"1155";"5";"1"
"1158";"3";"3"
"1161";"3";"3"
"1164";"3";"2"
"1167";"2";"3"
"1170";"2";"3"
"1173";"3";"2"
"1176";"3";"2"
"1179";"3";"2"
"1182";"2";"2"
"1185";"2";"2"
"1188";"3";"1"
"1191";"3";"1"
"1194";"3";"1"
"1197";"3";"1"
"1200";"3";"1"
"1203";"3";"1"
"1206";"3";"1"
"1209";"4";"0"
"1212";"4";"0"
"1215";"4";"0"
"1218";"4";"0"
"1221";"4";"0"
"1224";"4";"0"
"1227";"4";"0"
"1230";"4";"0"
"1233";"4";"0"
"1236";"2";"2"
"1239";"3";"1"
"1242";"3";"1"
"1245";"4";"0"
"1248";"3";"2"
"1251";"5";"0"
"1254";"5";"0"
"1257";"4";"1"
"1260";"4";"1"
"1263";"5";"0"
"1266";"5";"0"
"1269";"5";"0"
"1272";"5";"0"
"1275";"5";"0"
"1278";"3";"3"
