"frameCount";"StaticqueueDensity";"currentNoOfBlobs"
"10";"0";"3"
"20";"1";"2"
"30";"1";"3"
"40";"0";"4"
"50";"1";"3"
"60";"1";"3"
"70";"2";"2"
"80";"3";"4"
"90";"3";"3"
"100";"2";"3"
"110";"4";"5"
"120";"3";"5"
"130";"2";"6"
"140";"4";"4"
"150";"5";"3"
"160";"5";"0"
"170";"4";"5"
"180";"6";"3"
"190";"9";"0"
"200";"9";"0"
"210";"9";"0"
"220";"7";"0"
"230";"11";"0"
"240";"8";"1"
"250";"8";"1"
"260";"9";"0"
"270";"9";"0"
"280";"6";"1"
"290";"8";"1"
"300";"9";"0"
"310";"9";"0"
"320";"8";"1"
"330";"8";"1"
"340";"9";"0"
"350";"8";"1"
"360";"7";"2"
"370";"8";"1"
"380";"9";"2"
"390";"4";"3"
"400";"7";"4"
"410";"1";"6"
"420";"5";"5"
"430";"6";"7"
"440";"1";"11"
"450";"4";"8"
"460";"5";"5"
"470";"7";"5"
"480";"9";"2"
"490";"11";"0"
"500";"11";"0"
"510";"10";"1"
"520";"6";"1"
"530";"15";"2"
"540";"11";"0"
"550";"11";"0"
"560";"9";"2"
"570";"9";"2"
"580";"11";"0"
"590";"11";"0"
"600";"11";"0"
"610";"10";"1"
"620";"10";"1"
"630";"9";"0"
"640";"11";"0"
"650";"11";"0"
"660";"13";"0"
"670";"9";"0"
"680";"9";"0"
"690";"9";"0"
"700";"9";"0"
"710";"9";"0"
"720";"9";"0"
"730";"9";"0"
"740";"9";"0"
