"frameCount";"StaticqueueDensity";"currentNoOfBlobs"
"2";"0";"4"
"3";"0";"3"
"4";"0";"4"
"5";"0";"4"
"6";"0";"2"
"7";"0";"3"
"8";"0";"3"
"9";"1";"2"
"10";"0";"4"
"11";"0";"5"
"12";"4";"1"
"13";"3";"2"
"14";"3";"2"
"15";"3";"2"
"16";"2";"2"
"17";"2";"2"
"18";"3";"1"
"19";"2";"2"
"20";"2";"2"
"21";"2";"2"
"22";"2";"2"
"23";"2";"2"
"24";"1";"3"
"25";"2";"2"
"26";"2";"3"
"27";"1";"4"
"28";"2";"3"
"29";"2";"3"
"30";"2";"3"
"31";"1";"4"
"32";"1";"4"
"33";"2";"3"
"34";"1";"4"
"35";"1";"4"
"36";"2";"3"
"37";"0";"4"
"38";"0";"5"
"39";"2";"3"
"40";"0";"4"
"41";"1";"3"
"42";"2";"2"
"43";"1";"3"
"44";"1";"3"
"45";"3";"1"
"46";"1";"3"
"47";"2";"2"
"48";"3";"1"
"49";"2";"2"
"50";"2";"2"
"51";"2";"2"
"52";"2";"2"
"53";"1";"4"
"54";"2";"3"
"55";"2";"4"
"56";"2";"3"
"57";"2";"2"
"58";"2";"4"
"59";"2";"4"
"60";"2";"3"
"61";"2";"4"
"62";"4";"2"
"63";"3";"3"
"64";"3";"3"
"65";"2";"4"
"66";"2";"3"
"67";"3";"2"
"68";"3";"2"
"69";"2";"3"
"70";"2";"3"
"71";"2";"3"
"72";"2";"3"
"73";"2";"4"
"74";"2";"3"
"75";"2";"3"
"76";"2";"3"
"77";"2";"3"
"78";"3";"2"
"79";"3";"2"
"80";"2";"3"
"81";"4";"1"
"82";"2";"3"
"83";"2";"3"
"84";"1";"4"
"85";"1";"4"
"86";"1";"4"
"87";"3";"2"
"88";"1";"5"
"89";"1";"5"
"90";"3";"3"
"91";"1";"5"
"92";"1";"5"
"93";"3";"3"
"94";"1";"4"
"95";"0";"4"
"96";"0";"4"
"97";"0";"3"
"98";"0";"3"
"99";"0";"5"
"100";"0";"2"
"101";"0";"3"
"102";"0";"4"
"103";"0";"4"
"104";"0";"4"
"105";"0";"4"
"106";"1";"3"
"107";"1";"3"
"108";"1";"2"
"109";"1";"3"
"110";"1";"2"
"111";"0";"3"
"112";"0";"5"
"113";"0";"5"
"114";"0";"5"
"115";"0";"5"
"116";"0";"5"
"117";"0";"6"
"118";"0";"6"
"119";"0";"7"
"120";"1";"6"
"121";"0";"7"
"122";"0";"8"
"123";"4";"4"
"124";"2";"7"
"125";"2";"7"
"126";"2";"6"
"127";"2";"7"
"128";"2";"8"
"129";"5";"5"
"130";"4";"6"
"131";"3";"6"
"132";"6";"3"
"133";"4";"6"
"134";"4";"6"
"135";"3";"7"
"136";"4";"6"
"137";"6";"4"
"138";"6";"3"
"139";"5";"5"
"140";"7";"3"
"141";"8";"2"
"142";"7";"4"
"143";"6";"5"
"144";"8";"3"
"145";"7";"5"
"146";"10";"2"
"147";"10";"2"
"148";"8";"4"
"149";"8";"4"
"150";"11";"1"
"151";"8";"4"
"152";"8";"4"
"153";"12";"0"
"154";"8";"4"
"155";"8";"4"
"156";"11";"1"
"157";"8";"4"
"158";"8";"5"
"159";"12";"1"
"160";"9";"4"
"161";"8";"5"
"162";"13";"0"
"163";"9";"4"
"164";"10";"3"
"165";"13";"0"
"166";"11";"2"
"167";"11";"2"
"168";"13";"0"
"169";"12";"1"
"170";"9";"4"
"171";"13";"0"
"172";"11";"2"
"173";"11";"2"
"174";"13";"0"
"175";"12";"2"
"176";"12";"2"
"177";"14";"0"
"178";"13";"2"
"179";"13";"2"
"180";"15";"0"
"181";"15";"0"
"182";"13";"3"
"183";"15";"0"
"184";"14";"2"
"185";"15";"1"
"186";"15";"0"
"187";"15";"0"
"188";"15";"0"
"189";"15";"0"
"190";"15";"0"
"191";"15";"0"
"192";"15";"0"
"193";"15";"0"
"194";"15";"0"
"195";"15";"0"
"196";"15";"0"
"197";"15";"0"
"198";"15";"0"
"199";"15";"0"
"200";"15";"0"
"201";"15";"0"
"202";"15";"0"
"203";"15";"0"
"204";"15";"0"
"205";"15";"0"
"206";"14";"1"
"207";"15";"0"
"208";"14";"1"
"209";"15";"0"
"210";"15";"0"
"211";"15";"0"
"212";"15";"0"
"213";"15";"0"
"214";"14";"1"
"215";"14";"1"
"216";"14";"1"
"217";"14";"1"
"218";"15";"0"
"219";"15";"0"
"220";"15";"0"
"221";"15";"0"
"222";"15";"0"
"223";"14";"1"
"224";"15";"0"
"225";"15";"0"
"226";"15";"0"
"227";"15";"0"
"228";"15";"0"
"229";"15";"0"
"230";"14";"1"
"231";"15";"0"
"232";"15";"0"
"233";"15";"0"
"234";"15";"0"
"235";"15";"0"
"236";"15";"0"
"237";"15";"0"
"238";"15";"0"
"239";"15";"0"
"240";"15";"0"
"241";"15";"0"
"242";"15";"1"
"243";"15";"0"
"244";"15";"1"
"245";"15";"1"
"246";"15";"1"
"247";"15";"1"
"248";"15";"1"
"249";"14";"1"
"250";"14";"1"
"251";"14";"1"
"252";"14";"1"
"253";"14";"1"
"254";"14";"1"
"255";"14";"0"
"256";"14";"1"
"257";"14";"0"
"258";"14";"0"
"259";"14";"0"
"260";"14";"0"
"261";"14";"0"
"262";"14";"0"
"263";"14";"0"
"264";"14";"0"
"265";"14";"1"
"266";"14";"1"
"267";"14";"0"
"268";"14";"0"
"269";"14";"0"
"270";"14";"0"
"271";"14";"0"
"272";"14";"0"
"273";"14";"0"
"274";"14";"0"
"275";"14";"1"
"276";"14";"0"
"277";"14";"0"
"278";"14";"0"
"279";"14";"0"
"280";"14";"1"
"281";"14";"1"
"282";"14";"1"
"283";"14";"2"
"284";"14";"1"
"285";"14";"1"
"286";"13";"3"
"287";"15";"1"
"288";"14";"3"
"289";"15";"1"
"290";"15";"1"
"291";"15";"2"
"292";"15";"2"
"293";"15";"2"
"294";"15";"1"
"295";"14";"2"
"296";"15";"1"
"297";"15";"1"
"298";"15";"1"
"299";"14";"1"
"300";"15";"0"
"301";"15";"0"
"302";"15";"0"
"303";"15";"0"
"304";"15";"0"
"305";"15";"0"
"306";"15";"0"
"307";"15";"0"
"308";"15";"0"
"309";"14";"1"
"310";"14";"1"
"311";"14";"1"
"312";"14";"1"
"313";"14";"1"
"314";"14";"1"
"315";"15";"0"
"316";"15";"0"
"317";"14";"1"
"318";"15";"0"
"319";"15";"0"
"320";"15";"0"
"321";"15";"0"
"322";"14";"1"
"323";"15";"0"
"324";"14";"1"
"325";"14";"1"
"326";"14";"1"
"327";"15";"0"
"328";"15";"0"
"329";"14";"1"
"330";"15";"0"
"331";"15";"0"
"332";"15";"0"
"333";"15";"0"
"334";"15";"0"
"335";"15";"0"
"336";"15";"0"
"337";"14";"1"
"338";"15";"0"
"339";"15";"0"
"340";"15";"0"
"341";"15";"0"
"342";"15";"0"
"343";"15";"0"
"344";"15";"1"
"345";"15";"1"
"346";"15";"1"
"347";"15";"1"
"348";"15";"1"
"349";"15";"1"
"350";"15";"1"
"351";"15";"1"
"352";"15";"1"
"353";"15";"1"
"354";"15";"2"
"355";"15";"1"
"356";"15";"1"
"357";"14";"2"
"358";"14";"1"
"359";"14";"1"
"360";"14";"2"
"361";"14";"1"
"362";"14";"1"
"363";"14";"1"
"364";"14";"1"
"365";"14";"1"
"366";"14";"1"
"367";"14";"1"
"368";"14";"1"
"369";"14";"1"
"370";"14";"1"
"371";"14";"1"
"372";"14";"1"
"373";"14";"1"
"374";"14";"1"
"375";"14";"1"
"376";"14";"1"
"377";"14";"1"
"378";"14";"1"
"379";"14";"1"
"380";"13";"2"
"381";"14";"1"
"382";"13";"2"
"383";"13";"2"
"384";"14";"1"
"385";"13";"2"
"386";"13";"3"
"387";"14";"2"
"388";"13";"3"
"389";"14";"2"
"390";"14";"2"
"391";"14";"2"
"392";"14";"2"
"393";"15";"1"
"394";"14";"2"
"395";"14";"2"
"396";"14";"2"
"397";"13";"2"
"398";"14";"1"
"399";"14";"2"
"400";"14";"1"
"401";"12";"4"
"402";"14";"2"
"403";"14";"3"
"404";"14";"2"
"405";"14";"2"
"406";"14";"2"
"407";"13";"2"
"408";"14";"1"
"409";"13";"5"
"410";"13";"3"
"411";"14";"2"
"412";"13";"4"
"413";"13";"4"
"414";"13";"5"
"415";"13";"3"
"416";"11";"5"
"417";"9";"7"
"418";"7";"6"
"419";"8";"5"
"420";"8";"7"
"421";"8";"5"
"422";"8";"6"
"423";"7";"7"
"424";"7";"7"
"425";"7";"6"
"426";"5";"8"
"427";"7";"6"
"428";"6";"7"
"429";"5";"7"
"430";"5";"7"
"431";"5";"6"
"432";"5";"6"
"433";"3";"7"
"434";"2";"8"
"435";"5";"5"
"436";"3";"7"
"437";"2";"8"
"438";"5";"5"
"439";"1";"9"
"440";"1";"10"
"441";"5";"6"
"442";"1";"11"
"443";"3";"9"
"444";"3";"7"
"445";"3";"7"
"446";"3";"9"
"447";"5";"7"
"448";"5";"8"
"449";"5";"7"
"450";"8";"4"
"451";"6";"10"
"452";"6";"8"
"453";"11";"3"
"454";"7";"10"
"455";"10";"7"
"456";"14";"3"
"457";"13";"6"
"458";"12";"7"
"459";"15";"2"
"460";"13";"6"
"461";"12";"7"
"462";"15";"2"
"463";"15";"3"
"464";"13";"5"
"465";"15";"1"
"466";"13";"4"
"467";"14";"3"
"468";"15";"0"
"469";"14";"2"
"470";"13";"2"
"471";"15";"0"
"472";"13";"3"
"473";"15";"1"
"474";"15";"0"
"475";"14";"1"
"476";"14";"1"
"477";"15";"0"
"478";"14";"1"
"479";"14";"1"
"480";"15";"0"
"481";"15";"0"
"482";"15";"0"
"483";"15";"0"
"484";"15";"0"
"485";"15";"0"
"486";"15";"0"
"487";"15";"0"
"488";"15";"0"
"489";"15";"0"
"490";"15";"0"
"491";"15";"0"
"492";"15";"0"
"493";"15";"0"
"494";"15";"0"
"495";"15";"0"
"496";"15";"0"
"497";"15";"0"
"498";"15";"0"
"499";"15";"0"
"500";"15";"0"
"501";"15";"0"
"502";"15";"0"
"503";"15";"0"
"504";"15";"0"
"505";"15";"1"
"506";"15";"1"
"507";"15";"1"
"508";"15";"1"
"509";"15";"1"
"510";"15";"2"
"511";"15";"1"
"512";"15";"1"
"513";"15";"1"
"514";"15";"1"
"515";"14";"2"
"516";"14";"1"
"517";"14";"2"
"518";"14";"2"
"519";"14";"1"
"520";"14";"2"
"521";"14";"2"
"522";"14";"1"
"523";"14";"1"
"524";"14";"2"
"525";"14";"1"
"526";"14";"2"
"527";"14";"2"
"528";"14";"1"
"529";"14";"1"
"530";"14";"1"
"531";"13";"2"
"532";"14";"1"
"533";"14";"1"
"534";"14";"1"
"535";"13";"2"
"536";"14";"1"
"537";"14";"1"
"538";"14";"1"
"539";"14";"1"
"540";"14";"1"
"541";"14";"1"
"542";"12";"3"
"543";"13";"2"
"544";"14";"1"
"545";"14";"1"
"546";"15";"0"
"547";"14";"1"
"548";"13";"2"
"549";"15";"0"
"550";"13";"2"
"551";"13";"2"
"552";"15";"0"
"553";"12";"3"
"554";"14";"1"
"555";"15";"0"
"556";"13";"2"
"557";"13";"2"
"558";"15";"0"
"559";"13";"2"
"560";"13";"2"
"561";"15";"0"
"562";"13";"2"
"563";"15";"0"
"564";"15";"0"
"565";"15";"0"
"566";"14";"1"
"567";"15";"0"
"568";"15";"1"
"569";"15";"0"
"570";"15";"0"
"571";"15";"0"
"572";"15";"0"
"573";"15";"0"
"574";"14";"1"
"575";"15";"0"
"576";"15";"0"
"577";"15";"1"
"578";"15";"1"
"579";"15";"0"
"580";"15";"1"
"581";"15";"1"
"582";"15";"0"
"583";"15";"2"
"584";"15";"2"
"585";"15";"0"
"586";"15";"2"
"587";"15";"0"
"588";"15";"0"
"589";"15";"0"
"590";"15";"0"
"591";"15";"0"
"592";"15";"1"
"593";"15";"2"
"594";"15";"0"
"595";"15";"2"
"596";"15";"1"
"597";"15";"0"
"598";"15";"1"
"599";"15";"1"
"600";"15";"0"
"601";"15";"1"
"602";"15";"1"
"603";"15";"0"
"604";"15";"1"
"605";"15";"1"
"606";"15";"0"
"607";"15";"1"
"608";"15";"1"
"609";"15";"0"
"610";"15";"1"
"611";"15";"1"
"612";"15";"1"
"613";"14";"2"
"614";"14";"1"
"615";"15";"0"
"616";"15";"2"
"617";"14";"2"
"618";"15";"0"
"619";"14";"2"
"620";"14";"2"
"621";"15";"0"
"622";"15";"0"
"623";"15";"1"
"624";"15";"0"
"625";"15";"1"
"626";"15";"0"
"627";"15";"0"
"628";"15";"0"
"629";"15";"0"
"630";"15";"0"
"631";"15";"1"
"632";"15";"3"
"633";"15";"0"
"634";"15";"0"
"635";"15";"1"
"636";"15";"1"
"637";"15";"0"
"638";"15";"0"
"639";"15";"1"
"640";"15";"1"
"641";"15";"0"
"642";"15";"1"
"643";"15";"1"
"644";"15";"0"
"645";"15";"0"
"646";"15";"1"
"647";"15";"1"
"648";"15";"2"
"649";"14";"1"
"650";"15";"0"
"651";"15";"0"
"652";"15";"0"
"653";"15";"0"
"654";"15";"0"
"655";"15";"0"
"656";"15";"0"
"657";"15";"0"
"658";"15";"1"
"659";"15";"0"
"660";"15";"0"
"661";"15";"0"
"662";"15";"0"
"663";"15";"0"
"664";"15";"0"
"665";"15";"0"
"666";"15";"0"
"667";"15";"0"
"668";"15";"0"
"669";"15";"0"
"670";"15";"0"
"671";"15";"0"
"672";"15";"0"
"673";"15";"0"
"674";"15";"0"
"675";"15";"0"
"676";"15";"0"
"677";"15";"0"
"678";"15";"0"
"679";"15";"0"
"680";"15";"0"
"681";"15";"0"
"682";"15";"0"
"683";"15";"0"
"684";"15";"0"
"685";"15";"0"
"686";"15";"0"
"687";"15";"0"
"688";"15";"0"
"689";"15";"0"
"690";"15";"0"
"691";"15";"0"
"692";"15";"0"
"693";"15";"0"
"694";"15";"0"
