"frameCount";"StaticqueueDensity";"currentNoOfBlobs"
"2";"0";"3"
"3";"1";"2"
"4";"0";"3"
"5";"2";"1"
"6";"2";"2"
"7";"2";"1"
"8";"2";"1"
"9";"2";"1"
"10";"2";"3"
"11";"1";"3"
"12";"3";"1"
"13";"2";"2"
"14";"1";"3"
"15";"3";"1"
"16";"2";"2"
"17";"2";"1"
"18";"1";"2"
"19";"2";"1"
"20";"2";"1"
"21";"1";"2"
"22";"2";"1"
"23";"2";"1"
"24";"1";"2"
"25";"1";"2"
"26";"0";"3"
"27";"0";"3"
"28";"0";"4"
"29";"1";"3"
"30";"2";"2"
"31";"1";"3"
"32";"1";"3"
"33";"2";"2"
"34";"1";"3"
"35";"1";"3"
"36";"1";"4"
"37";"0";"3"
"38";"0";"3"
"39";"0";"3"
"40";"0";"4"
"41";"0";"4"
"42";"0";"3"
"43";"0";"4"
"44";"1";"3"
"45";"1";"3"
"46";"2";"2"
"47";"1";"3"
"48";"2";"2"
"49";"2";"2"
"50";"2";"3"
"51";"2";"2"
"52";"2";"2"
"53";"1";"3"
"54";"1";"3"
"55";"1";"4"
"56";"1";"4"
"57";"2";"3"
"58";"2";"4"
"59";"2";"5"
"60";"2";"2"
"61";"1";"6"
"62";"3";"4"
"63";"3";"3"
"64";"3";"4"
"65";"3";"4"
"66";"3";"3"
"67";"3";"3"
"68";"3";"3"
"69";"3";"3"
"70";"3";"3"
"71";"3";"3"
"72";"3";"4"
"73";"3";"4"
"74";"3";"3"
"75";"3";"3"
"76";"3";"3"
"77";"3";"3"
"78";"3";"3"
"79";"2";"4"
"80";"3";"3"
"81";"4";"2"
"82";"2";"4"
"83";"3";"3"
"84";"3";"4"
"85";"3";"4"
"86";"3";"4"
"87";"5";"2"
"88";"3";"4"
"89";"2";"5"
"90";"4";"3"
"91";"3";"4"
"92";"3";"5"
"93";"6";"2"
"94";"3";"5"
"95";"3";"5"
"96";"6";"2"
"97";"6";"3"
"98";"6";"3"
"99";"6";"2"
"100";"6";"3"
"101";"5";"4"
"102";"7";"2"
"103";"7";"3"
"104";"6";"4"
"105";"6";"2"
"106";"5";"4"
"107";"5";"4"
"108";"5";"4"
"109";"4";"4"
"110";"4";"4"
"111";"5";"3"
"112";"4";"5"
"113";"4";"5"
"114";"6";"3"
"115";"5";"5"
"116";"5";"5"
"117";"7";"3"
"118";"6";"6"
"119";"6";"6"
"120";"7";"5"
"121";"5";"6"
"122";"5";"6"
"123";"4";"4"
"124";"3";"5"
"125";"3";"4"
"126";"3";"3"
"127";"3";"6"
"128";"3";"5"
"129";"6";"2"
"130";"5";"5"
"131";"4";"6"
"132";"3";"5"
"133";"2";"6"
"134";"2";"6"
"135";"5";"3"
"136";"4";"6"
"137";"4";"5"
"138";"4";"4"
"139";"4";"5"
"140";"5";"4"
"141";"4";"4"
"142";"2";"6"
"143";"2";"7"
"144";"6";"3"
"145";"6";"4"
"146";"6";"3"
"147";"9";"0"
"148";"6";"3"
"149";"7";"2"
"150";"9";"0"
"151";"6";"3"
"152";"7";"2"
"153";"8";"1"
"154";"6";"3"
"155";"6";"4"
"156";"10";"0"
"157";"6";"5"
"158";"7";"4"
"159";"11";"0"
"160";"9";"2"
"161";"8";"3"
"162";"11";"0"
"163";"7";"4"
"164";"7";"5"
"165";"12";"0"
"166";"11";"1"
"167";"11";"1"
"168";"12";"0"
"169";"10";"2"
"170";"10";"2"
"171";"12";"0"
"172";"9";"4"
"173";"11";"2"
"174";"13";"0"
"175";"12";"2"
"176";"12";"2"
"177";"14";"0"
"178";"14";"1"
"179";"14";"1"
"180";"14";"0"
"181";"14";"1"
"182";"14";"1"
"183";"14";"0"
"184";"14";"1"
"185";"14";"1"
"186";"14";"0"
"187";"14";"1"
"188";"14";"0"
"189";"14";"0"
"190";"14";"0"
"191";"14";"1"
"192";"14";"0"
"193";"14";"0"
"194";"14";"0"
"195";"14";"0"
"196";"14";"0"
"197";"14";"0"
"198";"14";"0"
"199";"14";"0"
"200";"13";"1"
"201";"14";"0"
"202";"13";"1"
"203";"14";"0"
"204";"14";"0"
"205";"14";"0"
"206";"13";"1"
"207";"14";"0"
"208";"13";"1"
"209";"14";"0"
"210";"14";"0"
"211";"14";"0"
"212";"14";"0"
"213";"14";"0"
"214";"13";"1"
"215";"13";"1"
"216";"14";"0"
"217";"13";"1"
"218";"14";"0"
"219";"14";"0"
"220";"14";"0"
"221";"14";"0"
"222";"14";"0"
"223";"13";"1"
"224";"14";"0"
"225";"14";"0"
"226";"14";"0"
"227";"14";"0"
"228";"14";"0"
"229";"14";"0"
"230";"14";"0"
"231";"14";"0"
"232";"13";"1"
"233";"13";"1"
"234";"14";"0"
"235";"13";"1"
"236";"13";"2"
"237";"15";"0"
"238";"14";"2"
"239";"13";"2"
"240";"15";"0"
"241";"14";"1"
"242";"14";"1"
"243";"14";"0"
"244";"14";"1"
"245";"14";"1"
"246";"14";"1"
"247";"14";"1"
"248";"14";"1"
"249";"12";"2"
"250";"13";"1"
"251";"13";"1"
"252";"13";"1"
"253";"13";"1"
"254";"13";"1"
"255";"13";"1"
"256";"13";"1"
"257";"13";"1"
"258";"13";"0"
"259";"13";"0"
"260";"13";"0"
"261";"13";"0"
"262";"13";"0"
"263";"13";"0"
"264";"13";"0"
"265";"13";"1"
"266";"13";"1"
"267";"13";"0"
"268";"13";"1"
"269";"13";"1"
"270";"13";"0"
"271";"13";"0"
"272";"13";"0"
"273";"13";"0"
"274";"13";"1"
"275";"13";"1"
"276";"13";"1"
"277";"13";"1"
"278";"13";"1"
"279";"13";"0"
"280";"13";"0"
"281";"12";"2"
"282";"12";"3"
"283";"12";"3"
"284";"14";"1"
"285";"14";"1"
"286";"14";"1"
"287";"13";"2"
"288";"13";"2"
"289";"13";"2"
"290";"14";"1"
"291";"14";"2"
"292";"14";"2"
"293";"14";"2"
"294";"14";"1"
"295";"14";"1"
"296";"14";"1"
"297";"14";"1"
"298";"14";"1"
"299";"13";"1"
"300";"13";"1"
"301";"13";"1"
"302";"14";"0"
"303";"14";"0"
"304";"14";"0"
"305";"14";"0"
"306";"14";"0"
"307";"14";"0"
"308";"13";"1"
"309";"13";"1"
"310";"13";"1"
"311";"13";"1"
"312";"14";"0"
"313";"14";"0"
"314";"13";"1"
"315";"14";"0"
"316";"14";"0"
"317";"14";"0"
"318";"14";"0"
"319";"13";"1"
"320";"13";"1"
"321";"14";"0"
"322";"13";"1"
"323";"13";"1"
"324";"13";"1"
"325";"13";"1"
"326";"13";"1"
"327";"14";"0"
"328";"13";"1"
"329";"13";"1"
"330";"14";"0"
"331";"14";"0"
"332";"14";"0"
"333";"14";"0"
"334";"14";"0"
"335";"14";"0"
"336";"14";"0"
"337";"13";"1"
"338";"13";"1"
"339";"14";"0"
"340";"13";"1"
"341";"13";"1"
"342";"14";"0"
"343";"13";"1"
"344";"13";"1"
"345";"14";"0"
"346";"14";"1"
"347";"14";"1"
"348";"14";"1"
"349";"14";"1"
"350";"13";"2"
"351";"14";"1"
"352";"14";"1"
"353";"14";"2"
"354";"14";"1"
"355";"14";"2"
"356";"14";"2"
"357";"14";"3"
"358";"13";"2"
"359";"13";"1"
"360";"13";"2"
"361";"13";"1"
"362";"13";"1"
"363";"13";"2"
"364";"13";"1"
"365";"13";"1"
"366";"11";"3"
"367";"12";"2"
"368";"12";"2"
"369";"13";"1"
"370";"12";"2"
"371";"11";"3"
"372";"12";"2"
"373";"12";"2"
"374";"12";"2"
"375";"12";"2"
"376";"11";"3"
"377";"12";"2"
"378";"12";"2"
"379";"12";"2"
"380";"12";"2"
"381";"12";"2"
"382";"12";"2"
"383";"12";"2"
"384";"12";"2"
"385";"12";"2"
"386";"11";"4"
"387";"12";"3"
"388";"12";"3"
"389";"11";"4"
"390";"12";"3"
"391";"13";"2"
"392";"13";"2"
"393";"12";"3"
"394";"12";"3"
"395";"13";"2"
"396";"13";"1"
"397";"10";"4"
"398";"11";"3"
"399";"13";"1"
"400";"10";"5"
"401";"10";"5"
"402";"14";"1"
"403";"14";"1"
"404";"14";"1"
"405";"14";"1"
"406";"13";"2"
"407";"13";"2"
"408";"13";"2"
"409";"13";"2"
"410";"11";"3"
"411";"12";"2"
"412";"10";"4"
"413";"10";"4"
"414";"10";"6"
"415";"10";"4"
"416";"9";"4"
"417";"9";"4"
"418";"8";"5"
"419";"8";"5"
"420";"8";"6"
"421";"8";"6"
"422";"8";"6"
"423";"7";"4"
"424";"3";"8"
"425";"2";"7"
"426";"2";"5"
